country,LifeLadder,LnGDPpc,SocSupp,LifeExp,LifeChoice,Generosity,Corruption,GDPpc
Afghanistan,4.220168591,7.49728775,0.559071779,49.87126541,0.522566199,0.057393152,0.793245554,1803.145196
Albania,4.511100769,9.282299995,0.638411462,68.69837952,0.72981894,-0.017927289,0.901070774,10746.11954
Algeria,5.388170719,9.549138069,0.748149693,64.82994843,,,,14032.59433
Argentina,6.427221298,,0.882819116,67.44399261,0.847702205,,0.850924492,
Armenia,4.325471878,8.98956871,0.709218323,65.4094696,0.610986948,-0.155814424,0.921421051,8018.997636
Australia,7.250080109,10.69628143,0.942334235,72.52162933,0.922315717,0.223086312,0.398545116,44191.22107
Austria,7.048071861,10.69459534,0.926318586,71.64565277,0.888513982,0.071537279,0.52364099,44116.77347
Azerbaijan,5.303894997,9.691197395,0.777271032,62.04492569,0.712573171,-0.2282276,0.606770813,16174.60009
Bahrain,6.169673443,10.70677662,0.862700105,65.96392059,0.888691068,,,44657.45868
Bangladesh,4.5561409,8.100569725,0.649116933,62.04618835,0.874700487,-0.079817846,0.687853634,3296.345551
Belarus,5.177899361,9.684698105,0.926551104,65.76477051,0.658228815,-0.13301833,0.664055169,16069.81755
Belgium,6.948936462,10.63217831,0.928964078,71.52167511,0.865759015,-0.064254232,0.4966591,41447.31203
Benin,4.007357597,7.62152338,0.492815852,50.76924515,0.779795229,-0.038521048,0.837715745,2041.670001
Bolivia,5.769723415,8.797091484,0.795958757,60.04561996,0.881748736,-0.039895076,0.852592945,6614.976235
Bosnia and Herzegovina,5.180865288,9.240181923,0.807705104,67.77558136,0.633453727,0.140728295,0.957311988,10302.91272
Botswana,3.498936653,9.624712944,0.768302798,55.19362259,0.851694882,-0.258422136,0.729171813,15134.2088
Brazil,6.374817371,9.525510788,0.912455142,64.83092499,0.806571543,-0.110323586,0.781092763,13704.92845
Bulgaria,4.837560654,9.766366959,0.92603606,68.2297287,0.700265527,-0.174192682,0.935988188,17437.30157
Burkina Faso,4.205634594,7.376116753,0.764401138,51.10700226,0.644681513,0.016965307,0.720542431,1597.374708
Cambodia,4.461259365,8.146677971,0.745901227,58.53693771,0.957821488,0.077873215,0.840416849,3451.892709
Cameroon,4.816232204,8.020015717,0.659299791,48.33827972,0.71250701,0.004161811,0.87945056,3041.225132
Canada,7.244845867,10.67451286,0.924392521,72.2983017,0.912423909,0.196096614,0.385090441,43239.63628
Central African Republic,2.693061113,,0.29018417,44.02322006,0.624056518,,0.859073043,
Chad,4.029350281,7.584248066,0.616204858,45.10814285,0.525222123,0.041371502,0.819788873,1966.967048
Chile,6.579056263,10.01003551,0.841388166,71.83113861,0.652289748,0.089744627,0.858124971,22248.62549
China,5.32495594,9.561012268,0.741703033,69.0667038,,-0.245219812,,14200.21335
Colombia,6.233715057,9.48623085,0.88190037,64.00605774,0.834966123,-0.107797056,0.897553861,13177.03539
Congo (Brazzaville),4.119493484,8.711130142,0.615449011,53.89886475,0.785906553,-0.116827436,0.790385723,6070.098687
