row#,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long
3469,32315,12,NULL,2,392,1371,NULL,NULL,41424.71,NULL,0,0,41424.63958,12.986284,77.735245,13.000418,77.674835
4344,34894,12,1,3,836,NULL,NULL,NULL,41451.38,NULL,0,0,41451.32917,12.90944,77.57295,NULL,NULL
1391,26169,12,NULL,2,722,1036,NULL,NULL,41339.78,NULL,0,0,41339.75556,12.91567,77.55465,12.925568,77.580568
6843,40039,12,NULL,2,1281,1237,15,NULL,41528.69,41528.75007,0,0,41519.59444,12.934634,77.611283,12.92645,77.61206
5037,31995,12,NULL,2,776,393,NULL,NULL,41471.75,41471.80008,1,0,41471.53889,13.01508,77.67796,13.19956,77.70688
9381,23473,65,4,3,625,NULL,15,NULL,41602.01,41602.42708,1,0,41601.92222,12.95431,77.6553,NULL,NULL
8820,41605,12,NULL,2,1017,1021,15,NULL,41579.79,41579.80005,1,0,41578.88333,13.11084,77.60074,13.02853,77.54625
84,16934,12,2,3,293,NULL,NULL,NULL,41279.65,NULL,0,0,41279.60972,12.849482,77.663187,NULL,NULL
559,23696,65,NULL,2,1045,1205,NULL,NULL,41300.63,NULL,0,0,41300.41736,12.940238,77.589161,13.01899,77.54744
8313,45626,12,NULL,2,393,492,15,NULL,41566.53,41566.61403,0,0,41566.37361,13.19956,77.70688,12.851218,77.521664
8408,45160,23,NULL,2,92,393,15,NULL,41570.31,41570.38931,0,0,41569.38819,12.99569,77.6835,13.19956,77.70688
7704,43866,12,3,3,1095,NULL,NULL,NULL,41547.28,41547.57292,0,1,41546.57708,12.92415,77.67229,NULL,NULL
218,22695,12,NULL,2,450,393,NULL,NULL,41286.25,NULL,0,0,41285.54306,12.9334,77.62652,13.19956,77.70688
5905,30290,12,NULL,2,1254,1054,15,NULL,41499.71,41499.7363,0,0,41496.78681,12.934048,77.580568,12.90184,77.581587
7906,44413,12,NULL,2,273,212,15,NULL,41552.85,41552.90611,1,0,41552.79167,13.00775,77.67357,12.99474,77.60797
4328,34846,12,2,3,1390,NULL,NULL,NULL,41450.52,NULL,0,0,41450.49236,12.969368,77.641302,NULL,NULL
7372,43012,12,2,3,1246,NULL,NULL,NULL,41537.42,41537.79167,0,0,41535.41875,12.95158,77.57833,NULL,NULL
4533,35352,85,1,3,293,NULL,NULL,NULL,41457.4,41457.60417,0,0,41456.95556,12.849482,77.663187,NULL,NULL
9599,35443,12,NULL,2,1341,393,NULL,NULL,41472.17,41472.21145,1,0,41457.95486,12.979703,77.69382,13.19956,77.70688
4122,34265,12,NULL,2,1384,142,NULL,NULL,41445.65,NULL,1,0,41443.06319,13.02853,77.54625,12.91281,77.60923
5421,34777,12,NULL,2,516,585,15,NULL,41483.5,41483.54635,1,0,41482.86806,13.0056,77.65799,12.97677,77.5727
7581,28824,85,NULL,2,1147,789,15,NULL,41550.29,41550.31631,0,0,41543.53194,13.03064,77.6491,12.9634,77.60343
9180,38080,12,NULL,2,25,293,15,NULL,41595.64,41595.68381,0,1,41593.05972,12.98059,77.57475,12.849482,77.663187
2477,21050,85,NULL,2,822,1017,NULL,NULL,41390.92,NULL,0,0,41390.86667,13.01024,77.58056,13.11084,77.60074
4013,33944,24,NULL,2,393,293,NULL,NULL,41439.77,NULL,1,0,41439.60556,13.19956,77.70688,12.849482,77.663187
1989,23782,12,1,3,392,NULL,NULL,NULL,41369.73,NULL,0,0,41369.53403,12.986284,77.735245,NULL,NULL
2379,25400,12,NULL,2,1371,344,NULL,NULL,41388.15,NULL,1,0,41386.87639,13.000418,77.674835,12.94788,77.67092
3362,32017,12,NULL,2,953,585,NULL,NULL,41421.8,NULL,1,0,41421.63542,12.90536,77.54309,12.97677,77.5727
